Experiment,Mean AUC,Std Dev (±)
Cb Comb,0.8929738562091503,0.05322997874167885
Lgbm Comb,0.8883442265795207,0.04420296223784751
Tt Comb,0.8847494553376907,0.05831001142858103
Xgb Comb,0.8724945533769063,0.04430231128289714
Tt Cat,0.8703976034858387,0.08871867747623433
Rf Comb,0.8427559912854031,0.054144022438048986
Lasso Comb,0.8045751633986928,0.05870959473600791
Lr Comb,0.7155228758169935,0.06297568302959623
Lgbm Cont,0.6239106753812635,0.04347858783597675
Xgb Cont,0.6208605664488018,0.0671006281067377
Rf Cont,0.6199891067538126,0.057793098481522545
Tt Cont,0.6167211328976034,0.04233977926060747
Lr Cont,0.6079520697167757,0.06872779433197189
Mlp Comb,0.587037037037037,0.04434788894380755
Cb Cont,0.5845860566448802,0.08183550745127027
Lasso Cont,0.5840958605664488,0.08413320961625914
Mlp Cont,0.5514161220043573,0.04948142421420661
