Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
CB_comb,0.8690501328736623,0.0636949823464822,0.877124183006536,0.062294559615725,0.8701736134236133,0.06469159194201302
CB_cont,0.5694898026100073,0.08246309247033076,0.5588235294117647,0.06728376445793526,0.5538372221802713,0.07185787125624686
LASSO_comb,0.7652777777777778,0.05448486398188231,0.7629084967320262,0.06468483515883629,0.7610033112742091,0.058812687176890276
LASSO_cont,0.5539260576025282,0.0799904821053956,0.5532679738562092,0.08021428060473518,0.5475909497309092,0.07242627274841877
LGBM_comb,0.8616659935351885,0.07295439638996003,0.863562091503268,0.07288204492864121,0.8613564219625601,0.07251744851371068
LGBM_cont,0.5691856452726018,0.057831802350098716,0.5609477124183007,0.05190731824003788,0.5567828248270502,0.05379739758028034
LR_comb,0.6403755721402781,0.07557652094991198,0.6344771241830066,0.07871612253227606,0.6313443223443224,0.07921661010927813
LR_cont,0.546760323010323,0.09857465849152629,0.5483660130718955,0.09486050562913757,0.5402485416200586,0.10109865558456295
MLP_comb,0.5998947992426252,0.058592825886371505,0.5816993464052288,0.05721987990861174,0.5679457043693243,0.06570772117900488
MLP_cont,0.5320630939109201,0.022501022992490915,0.5310457516339868,0.024142122302929163,0.518554650978271,0.03421413971481103
RF_comb,0.7943675889328063,0.043351067449387874,0.7629084967320262,0.05583455510416271,0.7653498710963689,0.05068621283691258
RF_cont,0.5686673130790778,0.06466224981361056,0.555718954248366,0.056808722741651115,0.5458823550383618,0.06287257297205287
TT_cat,0.8288917618329382,0.07638092443182928,0.8326797385620915,0.08612893739657722,0.821066628790313,0.08628107518465028
TT_comb,0.8129704286941128,0.10430038889287821,0.8163398692810457,0.11320522759591509,0.8110263055768507,0.1087368237235325
TT_cont,0.5180162940507768,0.11969576075649331,0.5472222222222223,0.047790695928014576,0.5096092616048196,0.08693649989078972
XGB_comb,0.8268568033273915,0.07534747435168546,0.8302287581699346,0.07344657643417642,0.827527950310559,0.07418691782958332
XGB_cont,0.6108833070879107,0.055595216829428515,0.5946078431372548,0.05608503929866287,0.580401291982015,0.05461853187841487
