Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
CB_comb,0.8802316385440119,0.05939573628198942,0.8728735632183909,0.06421410217560508,0.8737491750905544,0.06345605997232723
CB_cont,0.5828045802567365,0.07617793546181278,0.5767816091954023,0.08264807431595617,0.5701073137005677,0.0773228239700358
LASSO_comb,0.7752594417077175,0.05747828706799845,0.7724137931034483,0.051731800198750184,0.7709332557410918,0.053855973662756775
LASSO_cont,0.5735338078644366,0.08060000265895886,0.5645977011494253,0.06598702315004058,0.5631566324142389,0.06526686320503902
LGBM_comb,0.868959884018334,0.06996089971609112,0.8662068965517241,0.06948691791359675,0.8663979972277354,0.06946736173780972
LGBM_cont,0.583248280621594,0.05522941102965755,0.5832183908045977,0.06342744952216486,0.5755247383674347,0.057776603951575474
LR_comb,0.653243074257273,0.07354637070188927,0.6581609195402298,0.06262247874973911,0.650066489832007,0.07001142189800003
LR_cont,0.5645066025928094,0.09298400727390012,0.5779310344827586,0.08569009844393007,0.5643658115012871,0.09225546202532485
MLP_comb,0.6124108312144295,0.05345767768499245,0.611264367816092,0.0463399468329416,0.5916551065373163,0.05382788000048085
MLP_cont,0.549975944262301,0.022260198908106436,0.5436781609195404,0.03893821306271479,0.5341074128516916,0.040043152155423006
RF_comb,0.7948362701766001,0.04584766205244032,0.7850574712643679,0.04092341451373621,0.777973961323637,0.045432596120990966
RF_cont,0.5816477572461344,0.060054220872566996,0.5834482758620689,0.07138514052485063,0.5674846186442405,0.06553238709387448
TT_cat,0.8443663796199292,0.07540027752558236,0.8262068965517242,0.08214137634280963,0.8257366184464189,0.08357627787873233
TT_comb,0.8245764220655328,0.10474272353249944,0.8197701149425287,0.09988604949046424,0.8187218012175379,0.10226848378001945
TT_cont,0.5388595732448287,0.1049495975951117,0.5972413793103448,0.04252314346582754,0.5458790798029847,0.07236520956949195
XGB_comb,0.8359202573401356,0.07131922113884728,0.8326436781609197,0.07241050895672659,0.8333275647890341,0.07175795465530545
XGB_cont,0.6252470674106444,0.055955048308656656,0.6110344827586207,0.056157865928717896,0.5972104680071755,0.05225539217488411
