Experiment,Mean AUC,Std Dev (±)
Tt Comb,0.8111111111111111,0.11967032904743341
Tt Cat,0.7805555555555556,0.10555555555555558
Lasso Comb,0.7666666666666666,0.08164965809277258
Rf Comb,0.7555555555555555,0.1074393311434095
Lr Comb,0.7416666666666667,0.11640181577642754
Cb Comb,0.7333333333333333,0.08164965809277261
Rf Cont,0.7236111111111111,0.16482781887940884
Cb Cont,0.7194444444444444,0.10555555555555553
Lr Cont,0.6916666666666667,0.08624541497922233
Xgb Cont,0.6416666666666667,0.12801909579781015
Xgb Comb,0.6416666666666667,0.10107447443700142
Lgbm Comb,0.6305555555555555,0.11235415786753712
Lgbm Cont,0.6305555555555555,0.11235415786753712
Lasso Cont,0.5888888888888889,0.15153535218873176
Tt Cont,0.49722222222222223,0.09797328938082443
Mlp Comb,0.475,0.21666666666666665
Mlp Cont,0.4027777777777778,0.0668977476599572
