Model,Macro Precision (mean),Macro Precision (std),Macro Recall (mean),Macro Recall (std),Macro F1 (mean),Macro F1 (std)
Cb Comb,0.6544696969696969,0.23262638872437882,0.611111111111111,0.09781564923143893,0.6026453388372893,0.13919729578463755
Cb Cont,0.5736363636363637,0.23533693096150496,0.6152777777777778,0.17389421362099486,0.5733479532163742,0.1777956886368421
Lasso Comb,0.6059848484848483,0.16610311057447438,0.6875,0.18055555555555552,0.6196867167919798,0.1538176328680477
Lasso Cont,0.5392316017316017,0.13260755869143462,0.5875,0.09895285072531596,0.5508333333333333,0.1173906110196022
Lgbm Comb,0.5356565656565657,0.1388507201915219,0.5833333333333334,0.09128709291752768,0.5472263993316624,0.12146209316992254
Lgbm Cont,0.5356565656565657,0.1388507201915219,0.5833333333333334,0.09128709291752768,0.5472263993316624,0.12146209316992254
Lr Comb,0.6476515151515152,0.240098024823892,0.5777777777777777,0.14635488747021655,0.583233574131407,0.16373571507664517
Lr Cont,0.6134848484848485,0.20932948863639397,0.5763888888888888,0.1481626150343843,0.583233574131407,0.16373571507664517
Mlp Comb,0.5377272727272728,0.23255951165916056,0.5166666666666667,0.19372884193514103,0.4846851763647429,0.1771988525816055
Mlp Cont,0.3757575757575758,0.14413224720094944,0.4444444444444445,0.13944333775567927,0.3661904761904761,0.12439786948325438
Rf Comb,0.4,0.018181818181818188,0.5,0.0,0.4442105263157895,0.011578947368421065
Rf Cont,0.5081818181818182,0.22160943978461947,0.55,0.09999999999999999,0.5156140350877193,0.14613245276776704
Tt Cat,0.39818181818181825,0.017627926754241203,0.48888888888888893,0.022222222222222233,0.4384210526315789,0.014181256405586838
Tt Comb,0.4,0.018181818181818188,0.5,0.0,0.4442105263157895,0.011578947368421065
Tt Cont,0.4,0.018181818181818188,0.5,0.0,0.4442105263157895,0.011578947368421065
Xgb Comb,0.48820707070707076,0.1371176218441,0.5305555555555556,0.11928283640879936,0.5060405916752666,0.12686727889870192
Xgb Cont,0.48820707070707076,0.1371176218441,0.5305555555555556,0.11928283640879936,0.5060405916752666,0.12686727889870192
