Model,Weighted Precision (mean),Weighted Precision (std),Weighted Recall (mean),Weighted Recall (std),Weighted F1 (mean),Weighted F1 (std)
Cb Comb,0.7776170798898072,0.09908603040273406,0.8181818181818181,0.05749595745760688,0.7796822716327361,0.060777414452054306
Cb Cont,0.7350413223140496,0.1571618366745097,0.8,0.08907235428302467,0.7543673577884104,0.11248299144064644
Lasso Comb,0.7884297520661158,0.10773512637525359,0.7818181818181819,0.04453617714151235,0.767820688083846,0.05409209811097213
Lasso Cont,0.7301062573789847,0.0559943416545663,0.7454545454545455,0.0890723542830247,0.7278787878787879,0.053013850261598876
Lgbm Comb,0.7105785123966942,0.10761638086891326,0.7454545454545455,0.1060173071790055,0.7165140123034861,0.09600581486481921
Lgbm Cont,0.7105785123966942,0.10761638086891326,0.7454545454545455,0.1060173071790055,0.7165140123034861,0.09600581486481921
Lr Comb,0.7664600550964187,0.1128283654108503,0.7636363636363637,0.12331509060227762,0.7479175657503832,0.10238109045982106
Lr Cont,0.7442883379247016,0.10969117364288622,0.7636363636363637,0.12331509060227762,0.747287738061732,0.1074388430410193
Mlp Comb,0.7030578512396695,0.1591135472456006,0.6363636363636364,0.16262312563634834,0.6363960514889307,0.13412762025413935
Mlp Cont,0.5342148760330578,0.24465970311821994,0.49090909090909085,0.20409040291494226,0.47974025974025974,0.21994280064156757
Rf Comb,0.6413223140495868,0.05619834710743805,0.8,0.036363636363636376,0.7115789473684211,0.04956937799043062
Rf Cont,0.6910743801652892,0.12591787176416003,0.8181818181818181,0.05749595745760688,0.743572567783094,0.09020750571281863
Tt Cat,0.6383471074380166,0.05501327059229297,0.7818181818181819,0.04453617714151235,0.7021052631578948,0.048440905966421983
Tt Comb,0.6413223140495868,0.05619834710743805,0.8,0.036363636363636376,0.7115789473684211,0.04956937799043062
Tt Cont,0.6413223140495868,0.05619834710743805,0.8,0.036363636363636376,0.7115789473684211,0.04956937799043062
Xgb Comb,0.680702479338843,0.11597488921027242,0.7272727272727273,0.09958591954639387,0.7006867435969604,0.10237541511194752
Xgb Cont,0.680702479338843,0.11597488921027242,0.7272727272727273,0.09958591954639387,0.7006867435969604,0.10237541511194752
